Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGENL156-23_r_1_s_50_BGENL156-23,BGENL156-23,2015183,20110,127,1533,1171.0,2380.0,1700.4872798434442,1676.0
BGENL157-23_r_1_s_50_BGENL157-23,BGENL157-23,608220,1812,31,1533,68.0,190.0,127.62818003913894,125.0
BGENL158-23_r_1_s_50_BGENL158-23,BGENL158-23,680800,4491,21,1533,131.0,436.0,307.5342465753425,307.0
BGENL159-23_r_1_s_50_BGENL159-23,BGENL159-23,2690629,930,17,1533,17.0,71.0,40.60469667318982,39.0
BGENL160-23_r_1_s_50_BGENL160-23,BGENL160-23,3321159,3039,17,1533,45.0,253.0,155.8825831702544,156.0
BGENL161-23_r_1_s_50_BGENL161-23,BGENL161-23,584898,570,37,1533,6.0,57.0,28.465753424657535,28.0
BGENL162-23_r_1_s_50_BGENL162-23,BGENL162-23,5811973,460,102,1533,15.0,41.0,26.825831702544033,26.0
BGENL163-23_r_1_s_50_BGENL163-23,BGENL163-23,3937594,554,65,1533,13.0,51.0,31.870841487279844,32.0
BGENL164-23_r_1_s_50_BGENL164-23,BGENL164-23,57030,8,0,1533,0.0,4.0,0.461839530332681,0.0
BGENL165-23_r_1_s_50_BGENL165-23,BGENL165-23,43238980,9332,568,1533,394.0,893.0,591.6555772994129,567.0
BGENL166-23_r_1_s_50_BGENL166-23,BGENL166-23,32378321,5773,504,1533,243.0,562.0,378.66340508806263,366.0
BGENL167-23_r_1_s_50_BGENL167-23,BGENL167-23,3834424,532,75,1533,16.0,55.0,34.675146771037184,35.0
BGENL168-23_r_1_s_50_BGENL168-23,BGENL168-23,3421138,1076,50,1533,40.0,146.0,73.8747553816047,70.0
BGENL169-23_r_1_s_50_BGENL169-23,BGENL169-23,21506990,1971,346,1533,46.0,406.0,103.20352250489236,95.0
BGENL170-23_r_1_s_50_BGENL170-23,BGENL170-23,975482,615,43,1533,21.0,141.0,42.94324853228963,35.0
BGENL171-23_r_1_s_50_BGENL171-23,BGENL171-23,20009034,3979,322,1533,216.0,429.0,292.5088062622309,285.0
BGENL172-23_r_1_s_50_BGENL172-23,BGENL172-23,754130,15712,43,1533,874.0,1796.0,1294.771037181996,1292.0
BGENL173-23_r_1_s_50_BGENL173-23,BGENL173-23,400423,115,23,1533,0.0,21.0,7.293542074363992,7.0
BGENL174-23_r_1_s_50_BGENL174-23,BGENL174-23,5874802,1222,108,1533,34.0,106.0,69.98043052837573,69.0
BGENL175-23_r_1_s_50_BGENL175-23,BGENL175-23,1121827,514,8,1533,14.0,50.0,31.68688845401174,32.0
BGENL176-23_r_1_s_50_BGENL176-23,BGENL176-23,677058,77,21,1533,0.0,15.0,4.113502935420744,3.0
BGENL177-23_r_1_s_50_BGENL177-23,BGENL177-23,1497510,390,26,1533,5.0,32.0,20.080234833659492,20.0
BGENL178-23_r_1_s_50_BGENL178-23,BGENL178-23,476899,748,23,1533,7.0,77.0,36.75342465753425,36.0
BGENL179-23_r_1_s_50_BGENL179-23,BGENL179-23,4299940,1395,18,1533,21.0,104.0,56.93150684931507,57.0
BGENL180-23_r_1_s_50_BGENL180-23,BGENL180-23,174377,1118,8,1533,50.0,130.0,83.78473581213308,81.0
BGENL181-23_r_1_s_50_BGENL181-23,BGENL181-23,1092884,3378,22,1533,60.0,238.0,135.12328767123287,131.0
BGENL182-23_r_1_s_50_BGENL182-23,BGENL182-23,761202,129,61,1533,0.0,26.0,8.201565557729941,7.0
BGENL183-23_r_1_s_50_BGENL183-23,BGENL183-23,3491985,561,68,1533,0.0,65.0,28.24853228962818,29.0
BGENL184-23_r_1_s_50_BGENL184-23,BGENL184-23,8275045,2413,281,1533,53.0,206.0,117.53228962818004,118.0
BGENL185-23_r_1_s_50_BGENL185-23,BGENL185-23,4658980,1447,194,1533,29.0,119.0,79.04109589041096,80.0
BGENL186-23_r_1_s_50_BGENL186-23,BGENL186-23,1919605,885,94,1533,18.0,72.0,45.285714285714285,45.0
BGENL187-23_r_1_s_50_BGENL187-23,BGENL187-23,305954,351,23,1533,6.0,31.0,19.925636007827787,20.0
BGENL188-23_r_1_s_50_BGENL188-23,BGENL188-23,1111711,390,52,1533,2.0,35.0,17.45792563600783,16.0
BGENL189-23_r_1_s_50_BGENL189-23,BGENL189-23,598418,903,44,1533,36.0,134.0,68.8454011741683,65.0
BGENL190-23_r_1_s_50_BGENL190-23,BGENL190-23,166207,38,23,1533,0.0,9.0,2.4735812133072406,2.0
BSNHM002-24_r_1_s_50_BSNHM002-24,BSNHM002-24,1418678,27,9,1530,0.0,6.0,1.080392156862745,1.0
BSNHM003-24_r_1_s_50_BSNHM003-24,BSNHM003-24,2301210,507,23,1533,9.0,54.0,28.90606653620352,30.0
BSNHM004-24_r_1_s_50_BSNHM004-24,BSNHM004-24,1740798,8326,13,1533,0.0,651.0,489.00391389432485,497.0
BSNHM005-24_r_1_s_50_BSNHM005-24,BSNHM005-24,1024488,29,7,1533,0.0,16.0,1.5968688845401173,0.0
BSNHM006-24_r_1_s_50_BSNHM006-24,BSNHM006-24,8307003,585,68,1533,0.0,57.0,23.64774951076321,23.0
BSNHM007-24_r_1_s_50_BSNHM007-24,BSNHM007-24,2064039,216,41,1533,0.0,33.0,9.579256360078277,8.0
BSNHM008-24_r_1_s_50_BSNHM008-24,BSNHM008-24,6326697,179,12,1533,1.0,22.0,6.209393346379648,5.0
BSNHM009-24_r_1_s_50_BSNHM009-24,BSNHM009-24,4720017,468,16,1533,2.0,39.0,16.12720156555773,14.0
BSNHM010-24_r_1_s_50_BSNHM010-24,BSNHM010-24,3410267,77,18,1533,0.0,10.0,2.5185909980430528,2.0
BSNHM011-24_r_1_s_50_BSNHM011-24,BSNHM011-24,3413114,30431,25,1533,479.0,2726.0,1632.5146771037182,1639.0
BSNHM012-24_r_1_s_50_BSNHM012-24,BSNHM012-24,1271685,98,4,1533,0.0,12.0,2.73972602739726,2.0
BSNHM013-24_r_1_s_50_BSNHM013-24,BSNHM013-24,1928947,163,9,1530,0.0,20.0,7.409803921568628,6.0
BSNHM014-24_r_1_s_50_BSNHM014-24,BSNHM014-24,1854158,62,19,1533,0.0,10.0,2.984344422700587,2.0
BSNHM015-24_r_1_s_50_BSNHM015-24,BSNHM015-24,2034908,90,18,1533,0.0,10.0,4.0195694716242665,4.0
BSNHM016-24_r_1_s_50_BSNHM016-24,BSNHM016-24,621716,62,0,1536,0.0,25.0,1.91015625,0.0
